species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,bill_ratio,body_mass_kg
Adelie,Torgersen,39.1,18.7,181.0,3750.0,male,2007,2.0909090909090913,3.75
Adelie,Torgersen,39.5,17.4,186.0,3800.0,female,2007,2.270114942528736,3.8
Adelie,Torgersen,40.3,18.0,195.0,3250.0,female,2007,2.238888888888889,3.25
Adelie,Torgersen,36.7,19.3,193.0,3450.0,female,2007,1.9015544041450778,3.45
Adelie,Torgersen,39.3,20.6,190.0,3650.0,male,2007,1.907766990291262,3.65
Adelie,Torgersen,38.9,17.8,181.0,3625.0,female,2007,2.185393258426966,3.625
Adelie,Torgersen,39.2,19.6,195.0,4675.0,male,2007,2.0,4.675
Adelie,Torgersen,41.1,17.6,182.0,3200.0,female,2007,2.3352272727272725,3.2
Adelie,Torgersen,38.6,21.2,191.0,3800.0,male,2007,1.8207547169811322,3.8
Adelie,Torgersen,34.6,21.1,198.0,4400.0,male,2007,1.6398104265402844,4.4
Adelie,Torgersen,36.6,17.8,185.0,3700.0,female,2007,2.056179775280899,3.7
Adelie,Torgersen,38.7,19.0,195.0,3450.0,female,2007,2.0368421052631582,3.45
Adelie,Torgersen,42.5,20.7,197.0,4500.0,male,2007,2.0531400966183577,4.5
Adelie,Torgersen,34.4,18.4,184.0,3325.0,female,2007,1.8695652173913044,3.325
Adelie,Torgersen,46.0,21.5,194.0,4200.0,male,2007,2.13953488372093,4.2
Adelie,Biscoe,37.8,18.3,174.0,3400.0,female,2007,2.065573770491803,3.4
Adelie,Biscoe,37.7,18.7,180.0,3600.0,male,2007,2.016042780748663,3.6
Adelie,Biscoe,35.9,19.2,189.0,3800.0,female,2007,1.8697916666666667,3.8
Adelie,Biscoe,38.2,18.1,185.0,3950.0,male,2007,2.110497237569061,3.95
Adelie,Biscoe,38.8,17.2,180.0,3800.0,male,2007,2.255813953488372,3.8
Adelie,Biscoe,35.3,18.9,187.0,3800.0,female,2007,1.8677248677248677,3.8
Adelie,Biscoe,40.6,18.6,183.0,3550.0,male,2007,2.182795698924731,3.55
Adelie,Biscoe,40.5,17.9,187.0,3200.0,female,2007,2.2625698324022347,3.2
Adelie,Biscoe,37.9,18.6,172.0,3150.0,female,2007,2.0376344086021505,3.15
Adelie,Biscoe,40.5,18.9,180.0,3950.0,male,2007,2.1428571428571432,3.95
Adelie,Dream,39.5,16.7,178.0,3250.0,female,2007,2.3652694610778444,3.25
Adelie,Dream,37.2,18.1,178.0,3900.0,male,2007,2.0552486187845305,3.9
Adelie,Dream,39.5,17.8,188.0,3300.0,female,2007,2.2191011235955056,3.3
Adelie,Dream,40.9,18.9,184.0,3900.0,male,2007,2.164021164021164,3.9
Adelie,Dream,36.4,17.0,195.0,3325.0,female,2007,2.1411764705882352,3.325
Adelie,Dream,39.2,21.1,196.0,4150.0,male,2007,1.8578199052132702,4.15
Adelie,Dream,38.8,20.0,190.0,3950.0,male,2007,1.94,3.95
Adelie,Dream,42.2,18.5,180.0,3550.0,female,2007,2.2810810810810813,3.55
Adelie,Dream,37.6,19.3,181.0,3300.0,female,2007,1.9481865284974094,3.3
