DateStr,MediaGroup,TotalEvents,TotalArticles,TotalMentions,TotalSources,AvgTone,WeightedTone,AvgGoldstein,MinTone,MaxTone,StdTone,Date
2025-02-01,Chinese,8,30,30,8,-0.6388772517804774,-3.868174835916773,1.7,-6.45161290322581,1.2987012987013,3.5876983338483894,2025-02-01
2025-02-01,Global/Other,184,641,643,196,-2.313230529962446,-2.3854546748667413,-2.2141304347826085,-8.47457627118647,5.10204081632653,2.6411037770176002,2025-02-01
2025-02-01,Western,12,47,47,13,-0.9296697299926624,-1.0014025037872556,-1.1166666666666667,-4.40528634361234,2.63157894736842,2.416400868144306,2025-02-01
2025-02-02,Global/Other,232,1084,1110,241,-2.8343624887159007,-2.898667310402767,-1.847844827586207,-14.2857142857143,5.0,2.5298631581222835,2025-02-02
2025-02-02,Western,13,42,42,13,-3.6408046370302523,-4.986846464275098,-2.5999999999999996,-9.71428571428569,-0.97087378640777,3.3992273020240305,2025-02-02
2025-02-03,Chinese,3,4,4,3,-0.5855045651540832,1.5355362557171501,-1.3333333333333333,-4.82758620689655,7.89865871833085,7.347500933353148,2025-02-03
2025-02-03,Global/Other,357,1442,1449,376,-2.022687220247952,-2.301507377995809,-1.7053221288515406,-15.9420289855073,7.28155339805825,2.8792337826012595,2025-02-03
2025-02-03,Western,28,103,103,28,-2.3768361467811223,-2.1677742805543696,-2.6214285714285714,-6.2407132243685,1.39949109414758,1.9413528270897067,2025-02-03
2025-02-04,Chinese,6,20,20,6,-1.12213699760552,-0.38281537937317,1.7,-2.60078023407022,1.06951871657754,1.666186971172799,2025-02-04
2025-02-04,Global/Other,479,2085,2107,497,-2.8292824249309545,-3.075710743528648,-1.8200417536534446,-15.7706093189964,6.8,2.8956261101678633,2025-02-04
2025-02-04,Western,43,157,157,45,-1.8943814496926918,-1.9757648845829898,-1.2790697674418605,-5.88235294117647,0.20348837209303,1.3650575889695773,2025-02-04
2025-02-05,Chinese,11,17,17,11,3.142161788639173,1.1905157100664405,2.8363636363636364,-4.28571428571429,7.00389105058365,3.7232352118252003,2025-02-05
2025-02-05,Global/Other,390,1501,1507,400,-2.2571447383120242,-2.374351316910717,-1.2597435897435898,-14.1104294478528,6.54685494223363,2.7272971394027588,2025-02-05
2025-02-05,Western,18,60,61,18,-2.048356092197532,-4.578811476726778,-1.0111111111111113,-11.3924050632912,6.00255427841635,4.425583424905821,2025-02-05
2025-02-06,Chinese,4,11,11,4,0.7178050508686896,1.2041055548588917,-0.25,-2.4390243902439,7.22433460076046,4.557165424494024,2025-02-06
