WeekStr,ActionCountry,MediaGroup,TotalEvents,TotalArticles,AvgTone,AvgGoldstein,WeekStart
2025-01-27,AE,Global/Other,5,8,-6.215831705142554,-5.0,2025-01-27
2025-01-27,AS,Global/Other,1,1,-0.61242344706912,-4.0,2025-01-27
2025-01-27,AU,Global/Other,1,4,-4.30809399477807,-5.0,2025-01-27
2025-01-27,BR,Global/Other,1,1,-2.86225402504472,0.0,2025-01-27
2025-01-27,CA,Chinese,1,3,1.2987012987013,3.0,2025-01-27
2025-01-27,CA,Global/Other,10,35,-3.530132117203324,-0.72,2025-01-27
2025-01-27,CA,Western,2,3,-1.87372823142624,-4.5,2025-01-27
2025-01-27,CH,Chinese,3,14,-1.2847367686077364,1.4000000000000001,2025-01-27
2025-01-27,CH,Global/Other,181,847,-2.559048205505658,-2.070718232044199,2025-01-27
2025-01-27,CH,Western,8,45,-2.9827795128123724,-1.5,2025-01-27
2025-01-27,FR,Global/Other,1,1,-1.77083333333334,0.4,2025-01-27
2025-01-27,GM,Global/Other,3,12,-1.2499329726202566,-2.0,2025-01-27
2025-01-27,GY,Global/Other,2,10,0.26315789473684,-2.0,2025-01-27
2025-01-27,IN,Global/Other,1,8,-0.7905138339921,3.0,2025-01-27
2025-01-27,JA,Global/Other,1,3,-4.17090539165819,0.0,2025-01-27
2025-01-27,KS,Global/Other,2,10,-0.4388370817334,-4.0,2025-01-27
2025-01-27,MX,Global/Other,13,38,-3.002776561048077,-0.676923076923077,2025-01-27
2025-01-27,MX,Western,1,2,-2.22772277227723,-2.0,2025-01-27
2025-01-27,MY,Global/Other,1,1,-0.61242344706912,-4.0,2025-01-27
2025-01-27,NO,Global/Other,1,10,0.30895983522142,0.4,2025-01-27
2025-01-27,PE,Global/Other,1,8,-2.89532293986637,0.0,2025-01-27
2025-01-27,PK,Global/Other,2,11,-1.38527113426474,-0.8,2025-01-27
2025-01-27,PL,Western,1,10,-1.15044247787611,-0.4,2025-01-27
2025-01-27,PM,Global/Other,6,19,-2.295466531933617,-0.20000000000000004,2025-01-27
2025-01-27,PM,Western,1,2,-2.05278592375366,0.0,2025-01-27
2025-01-27,RP,Global/Other,1,2,-0.76219512195122,-0.4,2025-01-27
2025-01-27,SN,Global/Other,1,1,-0.2156334231806,-4.4,2025-01-27
2025-01-27,SZ,Global/Other,1,1,0.87837837837838,0.0,2025-01-27
2025-01-27,TH,Global/Other,4,7,-3.03797522353423,-1.125,2025-01-27
2025-01-27,TW,Global/Other,3,13,-0.2356359322253533,0.8666666666666667,2025-01-27
2025-01-27,UK,Global/Other,3,5,0.5608447234798967,2.0,2025-01-27
2025-01-27,UNK,Global/Other,1,10,5.0,-4.0,2025-01-27
2025-01-27,UP,Global/Other,1,8,-0.55658627087199,3.0,2025-01-27
2025-01-27,US,Chinese,4,13,-0.6388772517804774,1.6,2025-01-27
2025-01-27,US,Global/Other,168,651,-2.794116633450658,-2.3130952380952383,2025-01-27
2025-01-27,US,Western,12,27,-2.1204877751705644,-1.9833333333333334,2025-01-27
2025-02-03,AE,Global/Other,7,10,-1.7867535979669944,-2.0285714285714285,2025-02-03
2025-02-03,AQ,Global/Other,2,10,4.16666666666667,-4.4,2025-02-03
2025-02-03,AS,Global/Other,4,12,-1.6214702377275425,-1.6,2025-02-03
2025-02-03,AS,Western,1,5,-4.65116279069768,-4.0,2025-02-03
2025-02-03,BE,Global/Other,2,2,-2.0636216640251,-6.2,2025-02-03
2025-02-03,BE,Western,1,8,-1.53452685421995,0.0,2025-02-03
2025-02-03,BF,Global/Other,1,1,0.4306632213609,0.0,2025-02-03
2025-02-03,BP,Global/Other,1,2,-1.83126226291694,-0.4,2025-02-03
2025-02-03,CA,Global/Other,56,239,-2.382854352315344,-1.1321428571428573,2025-02-03
2025-02-03,CA,Western,2,5,-2.44797655991556,-1.0,2025-02-03
2025-02-03,CH,Chinese,37,115,0.5557750501683376,0.6432432432432431,2025-02-03
2025-02-03,CH,Global/Other,984,4353,-2.506587156273994,-1.4222560975609757,2025-02-03
2025-02-03,CH,Western,56,254,-2.335333040408745,-1.905357142857143,2025-02-03
2025-02-03,CJ,Global/Other,1,1,-1.44927536231884,0.0,2025-02-03
2025-02-03,CO,Global/Other,1,2,0.34965034965035,-0.4,2025-02-03
2025-02-03,CU,Global/Other,1,2,-0.69084628670121,-2.0,2025-02-03
2025-02-03,EI,Global/Other,2,12,-2.929816354192905,0.5,2025-02-03
2025-02-03,ES,Global/Other,3,8,-3.2911750558809367,3.0,2025-02-03
2025-02-03,FI,Global/Other,1,10,1.42857142857143,-4.4,2025-02-03
